scenario,year,variable,scvr
rcp45,2025,tas,0.7379751312134307
rcp45,2025,tasmax,0.609605044045366
rcp45,2025,tasmin,0.9359730703011147
rcp45,2025,pr,0.7490521931140365
rcp45,2025,sfcWind,0.7824335333939609
rcp45,2025,hurs,1.0003154883353473
rcp45,2026,tas,0.7425430209775862
rcp45,2026,tasmax,0.6105298722713213
rcp45,2026,tasmin,0.9304496466017116
rcp45,2026,pr,0.7422671446050129
rcp45,2026,sfcWind,0.7744157623555625
rcp45,2026,hurs,0.9952342187688217
rcp45,2027,tas,0.7412844731098419
rcp45,2027,tasmax,0.6082827229072114
rcp45,2027,tasmin,0.9317067323271049
rcp45,2027,pr,0.7431271024369093
rcp45,2027,sfcWind,0.7740775134381056
rcp45,2027,hurs,1.003459037223925
rcp45,2028,tas,0.7411280266565655
rcp45,2028,tasmax,0.6075741688238411
rcp45,2028,tasmin,0.9349269508140348
rcp45,2028,pr,0.7492706629101402
rcp45,2028,sfcWind,0.7747369801230682
rcp45,2028,hurs,1.0030626738653148
rcp45,2029,tas,0.746065732909557
rcp45,2029,tasmax,0.6092146837387709
rcp45,2029,tasmin,0.9372209271618953
rcp45,2029,pr,0.7502316267717377
rcp45,2029,sfcWind,0.7771986620390557
rcp45,2029,hurs,1.002703645691366
rcp45,2030,tas,0.742490120283349
rcp45,2030,tasmax,0.6093991468914732
rcp45,2030,tasmin,0.9362042649155337
rcp45,2030,pr,0.7450460832810882
rcp45,2030,sfcWind,0.7718955894081768
rcp45,2030,hurs,0.999414558348888
rcp45,2031,tas,0.7394179691024761
rcp45,2031,tasmax,0.6054014285122663
rcp45,2031,tasmin,0.9371038019362089
rcp45,2031,pr,0.7550287090987204
rcp45,2031,sfcWind,0.7783613528713156
rcp45,2031,hurs,0.9978998457358997
rcp45,2032,tas,0.7395517625480945
rcp45,2032,tasmax,0.6083389125767339
rcp45,2032,tasmin,0.9340143965641954
rcp45,2032,pr,0.750466239891421
rcp45,2032,sfcWind,0.7662650271730911
rcp45,2032,hurs,0.9979447800668954
rcp45,2033,tas,0.746256252161472
rcp45,2033,tasmax,0.6112491168576655
rcp45,2033,tasmin,0.9353590162982922
rcp45,2033,pr,0.7449637818606917
rcp45,2033,sfcWind,0.7743606761154678
rcp45,2033,hurs,0.9994328128602066
rcp45,2034,tas,0.7378666157227282
rcp45,2034,tasmax,0.6066061679739979
rcp45,2034,tasmin,0.9337158384501199
rcp45,2034,pr,0.7446249519879466
rcp45,2034,sfcWind,0.7729642375100073
rcp45,2034,hurs,1.0019141743461377
rcp45,2035,tas,0.7389909865770886
rcp45,2035,tasmax,0.6072257364503277
rcp45,2035,tasmin,0.9346508246756805
rcp45,2035,pr,0.7437981029771039
rcp45,2035,sfcWind,0.7798788717584425
rcp45,2035,hurs,0.9983482600841083
rcp45,2036,tas,0.7402103947719645
rcp45,2036,tasmax,0.6098071884930751
rcp45,2036,tasmin,0.9345605377573777
rcp45,2036,pr,0.7396142889713097
rcp45,2036,sfcWind,0.7730961542008747
rcp45,2036,hurs,0.9986287517173229
rcp45,2037,tas,0.7426449872838643
rcp45,2037,tasmax,0.6084732153541923
rcp45,2037,tasmin,0.936035154316297
rcp45,2037,pr,0.7496641963987313
rcp45,2037,sfcWind,0.7712787741454091
rcp45,2037,hurs,0.997675854877824
rcp45,2038,tas,0.7410829111289394
rcp45,2038,tasmax,0.6068565084092165
rcp45,2038,tasmin,0.9318662591465803
rcp45,2038,pr,0.7417653831518608
rcp45,2038,sfcWind,0.7684618126477807
rcp45,2038,hurs,0.9956751341391671
rcp45,2039,tas,0.7425537788498493
rcp45,2039,tasmax,0.6067646058601582
rcp45,2039,tasmin,0.9370717620318992
rcp45,2039,pr,0.748822064084294
rcp45,2039,sfcWind,0.771571527128882
rcp45,2039,hurs,1.0002406183633423
rcp45,2040,tas,0.74068454518984
rcp45,2040,tasmax,0.610953057151259
rcp45,2040,tasmin,0.9329365410041958
rcp45,2040,pr,0.7483109871497337
rcp45,2040,sfcWind,0.7772834917071927
rcp45,2040,hurs,0.9913945462474286
rcp45,2041,tas,0.7417200171397149
rcp45,2041,tasmax,0.6084994460999968
rcp45,2041,tasmin,0.9327626079936633
rcp45,2041,pr,0.7499746249592206
rcp45,2041,sfcWind,0.7726273219648151
rcp45,2041,hurs,0.9984844236083343
rcp45,2042,tas,0.7405723769992247
rcp45,2042,tasmax,0.6043396398566306
rcp45,2042,tasmin,0.9318162762692037
rcp45,2042,pr,0.742701019941732
rcp45,2042,sfcWind,0.7761762302870956
rcp45,2042,hurs,0.995811760884059
rcp45,2043,tas,0.7427061610809311
rcp45,2043,tasmax,0.6056878051037263
rcp45,2043,tasmin,0.9341388575276333
rcp45,2043,pr,0.7415148637877809
rcp45,2043,sfcWind,0.7736358836984978
rcp45,2043,hurs,1.002991116103006
rcp45,2044,tas,0.7417773652137106
rcp45,2044,tasmax,0.6100175801766674
rcp45,2044,tasmin,0.9345056699682673
rcp45,2044,pr,0.7430613129385876
rcp45,2044,sfcWind,0.77978482592892
rcp45,2044,hurs,0.9998339707871554
rcp45,2045,tas,0.7413817432716875
rcp45,2045,tasmax,0.6051076736527311
rcp45,2045,tasmin,0.9314885395189227
rcp45,2045,pr,0.7530273936310671
rcp45,2045,sfcWind,0.7798165852678179
rcp45,2045,hurs,0.9975720891310187
rcp45,2046,tas,0.7423517114773849
rcp45,2046,tasmax,0.6081641326541438
rcp45,2046,tasmin,0.9375504881771041
rcp45,2046,pr,0.7433003803634802
rcp45,2046,sfcWind,0.7734120327116606
rcp45,2046,hurs,1.0026385827730322
rcp45,2047,tas,0.7382525284223738
rcp45,2047,tasmax,0.6079221836054793
rcp45,2047,tasmin,0.9379767329950647
rcp45,2047,pr,0.747152987307033
rcp45,2047,sfcWind,0.7779541752429254
rcp45,2047,hurs,0.9941823240353787
rcp45,2048,tas,0.7421039431773202
rcp45,2048,tasmax,0.6070897922132511
rcp45,2048,tasmin,0.9352695490794005
rcp45,2048,pr,0.7507745848501127
rcp45,2048,sfcWind,0.7768336167479459
rcp45,2048,hurs,1.0024693044169528
rcp45,2049,tas,0.7395924215789788
rcp45,2049,tasmax,0.6055094720063655
rcp45,2049,tasmin,0.9372421411313544
rcp45,2049,pr,0.7398161301690446
rcp45,2049,sfcWind,0.7768213540727692
rcp45,2049,hurs,0.999861829219883
rcp45,2050,tas,0.7397995155191038
rcp45,2050,tasmax,0.6077578150377327
rcp45,2050,tasmin,0.9377533883369116
rcp45,2050,pr,0.7454628535223337
rcp45,2050,sfcWind,0.7719920711541899
rcp45,2050,hurs,0.9949352236833727
